Parcel ID,Address,
871712235005, 201 5TH ST ,
871712288020, 405 G AVE ,
871712288007, 502 5TH ST ,
871712231007, 504 A AVE ,
871712278003, 306 6TH ST ,
871607157004, 105 F AVE ,
871712235010, 206 6TH ST ,
871712279001, 302 5TH ST ,
871712235011, 203 5TH ST ,
871712288018, 409 G AVE ,
871607157002, 504 2 ST ,
871712236006, 407 C AVE ,
871712288006, 410 5TH ST ,
871712284010, 504 E AVE ,
871712278006, 504 C AVE ,
871712278001, 302 6TH ST ,
871712288011, 506 5TH ST ,
871712278004, 308 6TH ST ,
871607155009, 304 E AVE ,
871712288025, 409 4TH ST ,
871712278005, 506 C AVE ,
871607158004, 601 3 ST ,
871607153016, 212 D AVE ,
871712236004, 411 C AVE ,
871712236008, 207 4TH ST ,
871712232005, 401 B AVE ,
871712235002, 204 6TH ST ,
871712288016, 606 5TH ST ,
871607177005, 601 E 1ST ST ,
871712288021, 401 4TH ST ,
871607156004, 506 3 ST ,
871712278007, 301 5TH ST ,
871712288004, 404 5TH ST ,
871712235001, 202 6TH ST ,
871712284005, 502 E AVE ,
871607151008, 309 2 ST ,
871712235009, 501 C AVE ,
871607154003, 408 2 ST ,
871712236007, 405 C AVE ,
871712231008, 102 6TH ST ,
871712288033, 401 G AVE ,
871712278002, 304 6TH ST ,
871607158007, 309 G AVE ,
871712278010, 501 D AVE ,
871712288035, 406 D AVE ,
871607153007, 315 E AVE ,
871607156009, 503 2 ST ,
871712282002, 504 D AVE ,
871712288019, 407 G AVE ,
871607153002, 404 4TH ST ,
871607156001, 504 3 ST ,
871712288017, 413 G AVE ,
871712282004, 406 6TH ST ,
871712227005, 509 A AVE ,
871712278008, 503 D AVE ,
871607153017, 304 D AVE ,
871607177002, 94 D AVE ,
871607151025, 305 D AVE ,
871607152001, 302 2 ST ,
871712279007, 409 D AVE ,
871607159007, 209 G AVE ,
871607155012, 303 F AVE ,
871712287012, 504 F AVE ,
871712288015, 604 5TH ST ,
871712287010, G AVE ,
871712279009, 405 D AVE ,
871712236009, 201 4TH ST ,
871712288005, 406 5TH ST ,
871712282005, 505 E AVE ,
871712236001, 204 5TH ST ,
871607156006, 209 F AVE ,
871712236003, 203 4TH ST ,
871607159008, 207 G AVE ,
871607151005, 308 4TH ST ,
871712282006, 503 E AVE ,
871712236005, 409 C AVE ,
871607152003, 308 2 ST ,
871607155011, 305 F AVE ,
871607159005, 601 2 ST ,
871607152004, 101 D AVE ,
871607156007, 205 F AVE ,
871607158002, 315 G AVE ,
871607151020, 316 C AVE ,
871712235004, 208 6TH ST ,
871712288028, 505 4TH ST ,
871607179001, 601 E 1ST ST ,
871607158006, 311 G AVE ,
871712288009, 504 5TH ST ,
871712282011, 404 6TH ST ,
871712231003, 108 6TH ST ,
871712288032, 605 4TH ST ,
871712287003, 601 5TH ST ,
871607155018, 308 E AVE ,
871712284002, 508 E AVE ,
871712288023, 405 4TH ST ,
871607159010, 203 G AVE ,
871607158012, 301 G AVE ,
871712288034, 403 4TH ST ,
871607151011, D AVE ,
871607155002, 504 4TH ST ,
871712284006, 503 5TH ST ,
871607153004, 406 4TH ST ,
871607177006, 505 1ST ST ,
871607155008, 306 E AVE ,
871712287009, 505 G AVE ,
871712284009, 501 F AVE ,
871712232007, 409 B AVE ,
871712279010, 307 4TH ST ,
871712279005, 306 5TH ST ,
871607153015, 407 2 ST ,
871712235012, 505 C AVE ,
871712279003, 402 C AVE ,
871607154001, 108 D AVE ,
871607177004, 97 E AVE ,
871712284008, 503 F AVE ,
871607160006, 101 G AVE ,
871607155017, 510 4TH ST ,
871712232004, 403 B AVE ,
871607158010, 303 1/2 G AVE ,
871712288002, 408 D AVE ,
871607159009, 205 G AVE ,
871607153005, 408 4TH ST ,
871712288027, 503 4TH ST ,
871607160008, 107 G AVE ,
871607177003, D AVE ,
871712288026, 501 4TH ST ,
871607153012, 209 E AVE ,
871712232006, B AVE ,
871712287001, 510 F AVE ,
871712282007, 501 E AVE ,
871712288042, 509 4TH ST ,
871712288001, 402 5TH ST ,
871607155010, 503 3 ST ,
871607153013, 207 E AVE ,
871712279008, 407 D AVE ,
871607151014, 211 D AVE ,
871712231009, 104 6TH ST ,
871607157005, 104 E AVE APT 1 ,
871607156003, 501 2 ST ,
871607158005, 603 3 ST ,
871712282008, 403 5TH ST ,
871607154004, 103 E AVE ,
871712287005, 529 G AVE ,
871712284001, 510 E AVE ,
871607155013, 507 3 ST ,
871607159003, 206 F AVE ,
871712287007, 509 G AVE ,
871607154002, 102 D AVE ,
871607153006, 410 4TH ST ,
871712231002, 106 6TH ST ,
871712288013, 510 5TH ST ,
871607159006, 603 2 ST ,DUNKIN (Deed)
871712235008, 503 C AVE ,
871712232008, 101 4TH ST ,
871607158003, 306 F AVE ,
871712279002, 408 C AVE ,
871607159011, 201 G AVE ,
871607157001, 108 E AVE ,
871607151015, D AVE ,
871607155001, 502 4TH ST ,
871712236010, 404 B AVE ,
871607153020, 301 E AVE ,
871607158011, 303 G AVE ,
871607158008, 307 G AVE ,
871607178001, 99 G AVE ,
871607177007, 99 E AVE ,
871712287011, 507 G AVE ,
871607153011, 401 2 ST ,
871712288024, 407 4TH ST ,
871712279006, 411 D AVE ,
871607156002, 204 E AVE ,
871607154005, 101 E AVE ,
871607158009, 305 G AVE ,
871607156008, 507 2 ST ,
871607151004, 305 2 ST ,
871712282009, 401 5TH ST ,
871607151001, 302 4TH ST ,
871712288040, 602 5TH ST ,
871712282010, 502 D AVE ,
871607157008, 104 E AVE APT 4 ,
871712231006, 103 5TH ST ,
871607157007, 104 E AVE APT 3 ,
871607153014, 205 E AVE ,
871712231005, 202 B AVE ,
871712288038, 603 4TH ST ,
871607159002, 602 3 ST ,
871607155016, 506 4TH ST ,
871607157003, 506 2 ST ,
871607159001, 208 F AVE ,
871607151016, D AVE ,
871607158001, 602 4TH ST ,
871607160001, 604 2 ST ,
871607157006, 104 E AVE APT 2 ,
871607151021, 320 C AVE ,
871712282012, 402 6TH ST ,
871607151022, 204 C AVE ,
